0,domain,business_model,estimated_cost_bucket,difficulty,scalability,required_skills,target_customer,short_summary
A platform that provides video-editing tools for non-professionals.,SaaS,B2C,10000-50000,Medium,High,"Video editing, UX/UI design, Cloud computing, Marketing, Software development",Non-professional content creators,A user-friendly SaaS platform offering intuitive video-editing tools for beginners and casual creators to produce high-quality content effortlessly.
"A cloud platform that keeps a record of a company’s products and orders, and can even do inventory management.",SaaS,B2B,10000-50000,Medium,High,"Cloud computing, Inventory management, API development, Data analytics, UX/UI design",Small to medium-sized product-based businesses,"Cloud-based SaaS platform for product tracking, order management, and inventory automation tailored for SMEs."
"A platform that helps restaurants manage their food waste, cutting down on food waste.",FoodTech,B2B,10000-50000,Medium,High,"Supply chain management, Data analytics, Restaurant operations, Sustainability practices, Software development",Restaurants and food service businesses,"A SaaS platform enabling restaurants to track, reduce, and optimize food waste through data-driven insights and operational tools."
Newfund is building a platform that uses big data to make it easier for companies to raise capital from investors.,FinTech,B2B,50000+,High,High,"Data Analytics, Financial Modeling, Regulatory Compliance, Software Development, Capital Markets Expertise",Startups and SMEs seeking capital,Newfund leverages big data to streamline capital raising for businesses by connecting them with investors through an intelligent platform.
A platform for building applications for homeowners using the Nest thermostat.,PropTech,Both,10000-50000,High,Medium,"IoT integration, API development, UX/UI design, cloud computing, smart home automation",Smart homeowners and property managers,A platform enabling developers and homeowners to build custom applications leveraging Nest thermostat data for smarter home automation.
A digital platform for retailers to sell products without needing to collect payments.,E-commerce,B2B,10000-50000,High,High,"Payment processing, API integration, Retail tech, UX/UI design, Compliance",Small to medium-sized online retailers,Platform enabling retailers to sell products while handling payment collection and processing on their behalf.
A startup that’s working on a platform for people,Other,B2C,10000-50000,Medium,High,"Product Management, UX/UI Design, Community Building, Software Development, Digital Marketing",General public seeking connection or services,"A versatile platform connecting people for social, professional, or service-based interactions, fostering community engagement and collaboration."
A chatbot that helps personal financial management. The startup is looking to build a platform that aggregates data from a variety of online and offline sources to provide financial guidance and advice to its users.,FinTech,B2C,10000-50000,High,High,"AI/NLP, Data Aggregation, Financial Analysis, Cybersecurity, UX/UI Design",Individuals seeking personal financial advice,AI-driven chatbot aggregating financial data to provide personalized financial guidance and advice for users.
"A platform for managing publications, which focus on business and science-related content. The company has raised a total of $50 million, including a $22 million Series C in August 2017.",SaaS,B2B,50000+,Medium,High,"Content Management, Data Analytics, UX/UI Design, Business Development, Cloud Infrastructure",Businesses and academic institutions publishing content,"A SaaS platform streamlining publication management for business and science-related content, targeting enterprises and academic publishers."
A startup that’s working on building a “smart home-building platform” that uses AI and sensors to optimize energy usage.,Sustainability,Both,50000+,High,High,"AI/ML development, IoT sensor integration, energy management systems, software engineering, data analytics",Homeowners and real estate developers,AI-driven smart home platform optimizing energy usage via sensors and machine learning for residential and commercial buildings.
"A video chat platform that allows users to have group chats with 1,000 people.",SaaS,Both,50000+,High,High,"Real-time communication, Scalable infrastructure, UI/UX design, Video encoding, Cloud computing",Businesses and large online communities,"A scalable video chat platform enabling group calls with up to 1,000 participants, targeting enterprises and large virtual events."
"A platform for food and retail delivery in India. The startup wants to help the 1,100 billion rupee (US$14.8 billion) food and retail sector in India optimize its supply chain and distribution.",FoodTech,Both,50000+,High,High,"Supply chain management, Logistics optimization, Data analytics, E-commerce platform development, Local market expertise","Indian food and retail businesses, consumers","Platform optimizing supply chain and delivery for India’s $14.8B food and retail sector, serving businesses and end consumers."
A supply chain management platform for restaurants and other food-related businesses. Growth is strong and the founders say they’re trying to make a dent in the $8.5 trillion food and beverage industry.,FoodTech,B2B,10000-50000,High,High,"Supply chain management, SaaS development, Restaurant industry knowledge, Data analytics, Sales and customer success",Restaurants and food businesses,A SaaS platform optimizing supply chain management for restaurants and food businesses to streamline operations in the $8.5T industry.
"A startup that helps brands and developers build mobile video games. Their platform easily integrates with existing games and offers a suite of tools for onboarding, publishing, and monetizing.",SaaS,B2B,50000+,High,High,"Game Development, API Integration, Monetization Strategies, Cloud Computing, UX/UI Design",Mobile game brands and developers,"A SaaS platform providing tools for mobile game integration, onboarding, publishing, and monetization to streamline game development for brands and developers."
A platform that connects local businesses to kids' camps and other activities for kids,Marketplace,Both,10000-50000,Medium,High,"Digital marketing, Partnership development, Platform UX/UI design, Customer support, Data analytics",Local businesses and parents seeking kids' activities,"A two-sided marketplace connecting local businesses with kids' camps and activities, streamlining bookings and partnerships for both providers and parents."
A platform that allows restaurants to create reservations in real time,FoodTech,B2B,10000-50000,Medium,High,"Software Development, UX/UI Design, Restaurant Operations Knowledge, API Integration, Data Analytics",Restaurants and hospitality businesses,"A SaaS platform enabling restaurants to manage real-time reservations, optimizing table turnover and improving customer experience."
"A platform for communication, collaboration and information sharing among small and medium-sized businesses.",SaaS,B2B,10000-50000,Medium,High,"Software Development, UX/UI Design, Cloud Infrastructure, Sales, Customer Support",Small and medium-sized business teams,"A SaaS platform enabling seamless communication, collaboration, and information sharing tailored for SMBs to streamline workflows."
Builds a retail website for selling products via Instagram. The startup’s founder says that the website is “the world’s first” to use the social platform to sell physical products online.,E-commerce,B2C,10000-50000,Medium,High,"Social media integration, E-commerce development, Digital marketing, UX/UI design, Payment processing",Small to medium-sized online retailers,"Platform enabling retailers to sell physical products directly via Instagram, leveraging social commerce for seamless transactions."
A B2B platform that helps SMBs automate and streamline accounting,FinTech,B2B,10000-50000,High,High,"Accounting expertise, Software development, API integration, Data security, UX/UI design",Small and medium-sized businesses (SMBs),"A B2B SaaS platform automating accounting processes for SMBs, reducing manual work and improving financial accuracy."
A software platform with the goal of helping people make sense of data on the web.,SaaS,Both,10000-50000,High,High,"Data Science, Web Development, UX/UI Design, Machine Learning, Cloud Computing",Businesses and individuals needing data insights,"A SaaS platform that aggregates, analyzes, and visualizes web data to provide actionable insights for users and enterprises."
A platform for asset managers to streamline the process of setting up and administering 401k plans for their employees.,FinTech,B2B,50000+,High,High,"Regulatory compliance, Financial software development, Retirement plan administration, API integration, Customer support",Asset managers and financial advisors,"A SaaS platform simplifying 401k plan setup and administration for asset managers, ensuring compliance and efficiency."
A platform that connects online shoppers and merchants with a mobile-first shopping experience.,E-commerce,Both,10000-50000,High,High,"Mobile Development, UX/UI Design, Digital Marketing, E-commerce Operations, Data Analytics",Mobile-first online shoppers and merchants,"A mobile-first platform connecting shoppers and merchants for seamless, optimized online shopping experiences with integrated tools for sellers."
A startup that’s building a business platform for people who want to monetize their own social media content and make money instead of just getting paid to post it.,SaaS,B2C,10000-50000,Medium,High,"Social media marketing, Software development, UX/UI design, Data analytics, Monetization strategies",Content creators and influencers,"Platform enabling creators to monetize social media content directly, bypassing traditional brand sponsorships with built-in revenue tools."
"A platform for micro-transactions for online merchants. The startup wants to eliminate the need for credit cards. The startup has its first pilot under its belt, with $300,000 in monthly revenue.",FinTech,B2B,10000-50000,High,High,"Payment processing, regulatory compliance, API integration, fraud detection, financial partnerships",Online merchants needing micro-transaction solutions,"Platform enabling credit card-free micro-transactions for online merchants, streamlining payments and reducing fees with scalable infrastructure."
"A startup that lets people and companies share their work in one platform, that they can then sell to brands.",Marketplace,Both,10000-50000,High,High,"Platform development, Digital marketing, Sales, UX/UI design, Content moderation","Freelancers, creators, and small to mid-sized brands","A digital marketplace where individuals and companies showcase work for sale to brands, enabling monetization and collaboration in one platform."
"A platform that allows consumers to make payments online for new or used products, and then track their orders.",E-commerce,B2C,10000-50000,Medium,High,"Payment gateway integration, Logistics management, UX/UI design, Cybersecurity, Customer support",Online shoppers buying new or used products,"A payment and order-tracking platform for consumers purchasing new or used products online, streamlining checkout and delivery monitoring."
"The startup is building a platform for small businesses to manage sales, with a feature that enables customers to easily cancel orders that don’t meet their expectations.",SaaS,B2B,10000-50000,Medium,High,"Software Development, UX/UI Design, Sales, Customer Support, Data Analytics",Small business owners and managers,A SaaS platform for small businesses to manage sales and enable easy order cancellations for dissatisfied customers.
"Share3X is a platform that lets people store, share, and manage their work and financial tools. The startup offers a “Workplace as a Service” for companies to house their employees’ tools.",SaaS,B2B,10000-50000,High,High,"Cloud computing, Cybersecurity, API integration, UX/UI design, Enterprise software development",Small to large enterprises needing tool consolidation,"Share3X provides a Workplace-as-a-Service platform for companies to centralize and manage employee tools, enhancing productivity and security."
"A company that aims to bring employees and freelancers together for projects, via a platform known as the ""Freelancer's Network"".",HRTech,Both,10000-50000,Medium,High,"Platform Development, UX/UI Design, Talent Matching Algorithms, Sales & Marketing, Legal Compliance",Businesses and independent professionals,"A marketplace platform connecting businesses with freelancers and employees for project-based collaboration, streamlining talent sourcing and engagement."
A startup that’s building a way to help people get their gas cheaper. The company is now in the process of raising funds to launch its platform.,FinTech,B2C,10000-50000,Medium,High,"Payment processing, Data analytics, Mobile app development, Partnership management, Regulatory compliance",Budget-conscious drivers and commuters,"Platform helping consumers find and access discounted gas prices through partnerships, loyalty programs, or dynamic pricing."
"Building a chat interface that relays data over a secure encrypted channel, so that people can chat and share files securely, and also build a platform for developers to build their own encrypted messaging apps.",SaaS,Both,10000-50000,High,High,"Cybersecurity, Encryption Protocols, Backend Development, API Design, UX/UI Design",Privacy-conscious users and developers,"Secure chat platform with encrypted messaging and file sharing, offering APIs for developers to build custom encrypted apps."
"A platform for building online courses and learning from them, with support for webinars, video, and interactive learning, as well as with tools for instructors.",EdTech,Both,10000-50000,Medium,High,"E-learning development, UX/UI design, Video production, Marketing, Platform engineering","Educators, trainers, and lifelong learners","A comprehensive platform for creating and consuming interactive online courses, featuring webinars, video, and instructor tools for seamless learning experiences."
"A web-based, collaborative platform for teachers to give and receive feedback.",EdTech,B2B,10000-50000,Medium,High,"Educational pedagogy, UX/UI design, Web development, Collaboration tools, Data privacy",K-12 and higher education institutions,"A collaborative web platform enabling teachers to share and receive structured feedback, improving instructional quality and professional development."
"A platform that helps companies create custom, branded t-shirts, available to buy online and in-store.",E-commerce,Both,10000-50000,Medium,High,"E-commerce platform development, Supply chain management, Digital marketing, Graphic design, Customer service",Small to large businesses needing branded merchandise,"A platform enabling businesses to design and sell custom branded t-shirts online and in-store, streamlining production and distribution."
Skip is a direct to consumer platform for retailers to create their own branded subscriptions.,E-commerce,B2B,10000-50000,Medium,High,"Subscription management, E-commerce integration, Customer retention, API development, Retail analytics",Online retailers seeking subscription models,"Skip enables retailers to launch and manage branded subscription services, enhancing customer loyalty and recurring revenue."
A platform for sending money in the Philippines that offers a unique way to pay for goods and services.,FinTech,B2C,10000-50000,High,High,"Payment processing, Regulatory compliance, Cybersecurity, Mobile app development, Local market expertise",Unbanked and underbanked Filipinos,A mobile-first payment platform enabling Filipinos to send money and pay for goods/services with low fees and seamless integration.
A digital music platform that provides musicians with a single revenue stream for fans who pay for their music,Other,B2C,10000-50000,Medium,High,"Digital music distribution, subscription management, user experience design, marketing, artist relations",Independent musicians and their fans,"A digital platform offering musicians a unified subscription-based revenue stream, allowing fans to support and access their music directly."
"A social media platform that focuses on live video, rather than posting to a timeline after the fact. Users can watch and interact with other users live.",Other,B2C,50000+,High,High,"Video streaming technology, Social media algorithms, Community management, UX/UI design, Digital marketing",Young adults and content creators,"A live video-focused social media platform enabling real-time interaction, prioritizing immediacy over pre-recorded content."
"A platform that allows people to purchase and sell real estate together in a safe, transparent way.",,,,,,,,
"A tool to help startups with the cost of raising seed funding, that seeks to integrate the big four of Kickstarter, AngelList, DigitalTilt, and SeedInvest in one platform.",,,,,,,,
"A software platform that allows producers to create, edit, and distribute videos, audio, photos, and text.",,,,,,,,
"A platform that helps you manage your online credit cards and create a spending plan. The goal of the startup is to create a solution to the following problem: “When you spend money, you don’t know what you spent it on.”",,,,,,,,
This startup is building an AI-powered email marketing platform for managing email marketing campaigns across all of an organization’s email addresses.,,,,,,,,
"A personalized learning platform where you can design your own learning plan, and get feedback from a coach.",,,,,,,,
A startup that provides a “Workchat” platform that’s like Slack and a “Workboard” platform that’s like Tre,,,,,,,,
Bizbuyers is a “social shopping platform” that links businesses with buyers. The company wants to be an “Amazon for small businesses”.,,,,,,,,
Meetup is a platform for people to meet up in person and interact with each other. It's especially useful for groups that have members spread across different cities or different countries.,,,,,,,,
A platform for forging relationships between people and businesses through technology and entertainment events.,,,,,,,,
A platform for building 3D objects where you can customize them to get the exact look you want.,,,,,,,,
"A digital platform for buying and selling e-books, with services like a price guarantee for authors, and direct-to-consumer sales.",,,,,,,,
This is a social platform where users can post their own stories in order to inspire others.,,,,,,,,
"A platform for sharing, finding, and verifying restaurant ratings, based on the way Yelp operates.",,,,,,,,
A digital health marketing platform.,,,,,,,,
A platform for measuring the impact of ads on your website,,,,,,,,
The startup is building an online platform for parents to discuss child development. The product is a combination of the company’s existing online platform with its new podcasting platform.,,,,,,,,
"A platform that lets you sell your stuff in minutes, without leaving the house. It’s currently in private beta.",,,,,,,,
"A self-serve platform that connects independent contractors and clients across North America. The startup says their platform helps to reduce the overhead of managing a workforce, while providing an easy way for employers to find talent.",,,,,,,,
"A platform for food safety and quality control, building a “food stamp for restaurants”",,,,,,,,
A real estate investment platform that claims it will help reduce real estate agent commissions by up to 80%.,,,,,,,,
This startup is building a platform that helps companies deliver more useful customer service by automating the back and forth between a company and a customer.,,,,,,,,
A computer vision startup that’s building AI to help monitor and improve plant health. The startup wants to take the burden of plant health monitoring off of the farmers and onto an AI platform.,,,,,,,,
"This startup is building an online and mobile platform to help consumers research credit cards, loans, and credit scores.",,,,,,,,
"A platform that helps ad agencies, marketers, and agencies reach people across multiple channels based on their interests, without having to find their personal email addresses.",,,,,,,,
A real estate property management platform for buyers and sellers.,,,,,,,,
"A platform designed to help car dealers make the most of their inventory, and lower inventory turnover.",,,,,,,,
A funding platform that offers loans to startups,,,,,,,,
A software platform that allows companies to use their own data to build predictive models.,,,,,,,,
"A platform that connects car dealers and automakers to help them sell, advertise, and service new cars and repairs and replace existing ones.",,,,,,,,
"A self-serve platform for saving money on auto insurance or just comparing rates, which they say is “faster, cheaper, and more comprehensive then any other website”. They currently have $2.5 million in monthly recurring revenue and are looking to launch in Miami and Atlanta.",,,,,,,,
"A platform that helps people find apprenticeships, and connect with employers.",,,,,,,,
"A “Mobile-first enterprise” platform that offers “one-to-many communication” for companies. It’s meant for companies with a “live, real-time workforce.” The startup has raised $150MM in venture funding.",,,,,,,,
"A software platform for publishing academic papers and hosting conferences, designed for scientists, researchers, and students.",,,,,,,,
"A platform intended to help companies figure out how to make their processes more efficient. NetBix is backed by some of the biggest names in venture capital: Mayfield, Ignition Partners, and others.",,,,,,,,
A startup that offers a text-based platform for live chat conversations with the aid of AI. The company is developing a chatbot that can provide personalized answers to questions.,,,,,,,,
"A subscription-based social media platform that integrates with Instagram, Facebook, and Twitter to share posts and access content.",,,,,,,,
"A platform where users can create virtual islands for multiplayer gaming. It launched in 2014, with the founders saying that it’s on track to reach $1.5 million in annual revenue.",,,,,,,,
A company that provides a platform for people to create podcasts and audio-books.,,,,,,,,
This is an online platform for selling and buying used phones.,,,,,,,,
"It is a platform that helps people find jobs in their area of interest, and also allows employers to post jobs.",,,,,,,,
"A product management platform for agencies, developers, and designers that helps companies plan, identify, prioritize, and integrate features for their software applications.",,,,,,,,
A group of former software engineers and developers who are building an automated dog-training platform to help pet owners train their pooches.,,,,,,,,
This is a platform for students to sign up for courses at their college. The company offers an online service through which students can track their courses and take them at their own pace.,,,,,,,,
An OTT platform for live streaming.,,,,,,,,
A platform that connects independent artists with buyers.,,,,,,,,
"A startup that lets companies handle payments in a more transparent way. It’s an API that connects payments platforms and third-party data, and helps companies figure out which payments to accept and which not to.",,,,,,,,
A platform to notify companies when their products are being shipped,,,,,,,,
"A platform for finding and hiring freelance developers, with a marketplace where developers can find work.",,,,,,,,
A platform for students to learn about and apply to jobs at some of the country's most powerful companies.,,,,,,,,
A digital platform for apartment hunters to compare various apartments in a specific city.,,,,,,,,
An open source platform that helps pharmacy owners boost sales of generics.,,,,,,,,
A platform that creates special offers and incentives for customers.,,,,,,,,
A cloud-based HR platform for small businesses that lets them manage their employee and contract employees all in one place.,,,,,,,,
A platform for finding home cleaners that an individual can use to set up recurring cleaning appointments.,,,,,,,,
A platform that connects homeless and low-income people to home-ownership programs,,,,,,,,
A platform to help college students compare programs and prepare for graduation.,,,,,,,,
A digital platform that enables brands to create and manage campaigns for their customers.,,,,,,,,
 A platform for companies to manage their supply and demand for software engineers.,,,,,,,,
Ripple is a platform for creating virtual currency and a payment system. The startup is trying to get merchants to adopt its digital currency by offering them a low-fee payment processing system.,,,,,,,,
The company is building a platform that will allow users to take a picture of the items in their home and have it translated into a virtual reality experience.,,,,,,,,
"A platform that helps small business owners in India use their app to accept payments, and enables customers to pay with a couple of taps.",,,,,,,,
A platform that helps users see what’s on in their area,,,,,,,,
This business is building a “complete SaaS platform” for Amazon’s business for business app.,,,,,,,,
A startup that lets real estate agents manage their finances and “build” their listings on a SaaS platform.,,,,,,,,
A company that helps recruiters find candidates by tracking their activity on platforms like LinkedIn and Facebook.,,,,,,,,
"A startup that provides merchants with a secure, spam-free e-commerce platform to sell their products and access marketplaces in the US and around the world.",,,,,,,,
A platform that helps people share their emotional experiences on the web to help connect with others.,,,,,,,,
"A platform for sellers to manage their Amazon selling business, helping them to follow the rules of Amazon.com, and get paid on time.",,,,,,,,
A platform for sharing home services and letting customers compare costs and quality.,,,,,,,,
"A startup that’s building a tool to help companies create an online studio for virtual, remote teams. The startup wants to help companies have a team wherever they are. It’s a platform for companies without 3D graphics talent to create virtual environments and use them for video conferencing, live training, and more.",,,,,,,,
This startup is a platform for helping B2B companies easily buy and track their suppliers.,,,,,,,,
"A “mobile-first” enterprise software platform that helps companies manage talent, HR, and employee engagement.",,,,,,,,
"The company wants to build an offline-first collaborative editing platform for video production that would allow editors to work in a room with multiple screens, and for multiple editors to work on the same piece of footage simultaneously.",,,,,,,,
"A platform for online tutoring with a focus on helping teachers and parents out of school. Tutor-to-tutor videos are on-demand, and the startup is also working on a way to make the private video chats public and shareable.",,,,,,,,
"This startup is building a platform that lets users scan in their groceries, learn how much it costs, and then print the bill at home.",,,,,,,,
"A platform for homes where homeowners can share tools and services, and get paid for doing so, similar to AirBnB.",,,,,,,,
A startup that provides a platform where you can hire someone to help you with your small business (such as bookkeeping),,,,,,,,
"A startup that helps people to buy and sell used cars, which helps save the environment. The entrepreneurs say that they’ve seen a lot of interest in the platform from US car dealerships.",,,,,,,,
A platform that helps restaurants manage their supply chain and order inventory to keep the stores stocked. The startup was acquired by the parent company of Whole Foods.,,,,,,,,
"This startup is building a platform for organizations to manage and streamline their workflows, building a “digital hub” for teams.",,,,,,,,
This is a platform that allows brands to see how their customers compare to their competitors.,,,,,,,,
A startup based out of Israel that’s building an online platform to help people with their homework.,,,,,,,,
An AI-powered financial advisory platform that helps people make better financial decisions.,,,,,,,,
This startup is building a payment platform to help rural local businesses accept credit cards. The startup is based in the Philippines and has been working with both credit cards and bank-issued debit cards in the country.,,,,,,,,
"A platform for getting contractors to complete work before it’s due, from the shop floor to the field.",,,,,,,,
"A platform that allows multiple users to create a single item, then share it with a single shipping address.",,,,,,,,
"A digital platform for group-buying, with the goal of making it simpler and cheaper for people to order directly from the group, and helping them better manage the group.",,,,,,,,
A platform for event organizers that wants to help them build a new type of event around their brand.,,,,,,,,
A platform that aims to bring transparency in the consumer data industry with a set of tools that help customers understand what data is being collected about them,,,,,,,,
A platform to help companies build working group meetings that promote collaboration and shared understanding.,,,,,,,,
This startup is building an online platform that gives sellers a way to sell their wares without needing to handle payment processing or risk taking customer service.,,,,,,,,
This startup is building a “frictionless” digital sales platform for printers.,,,,,,,,
A startup that wants to provide a platform to help social networks like Instagram and Twitter track their users’ whereabouts. It has a list of “verified” users to help set it apart.,,,,,,,,
A startup with a SaaS platform that helps retailers submit orders quickly and easily. The company is based in the UK but wants to grow internationally.,,,,,,,,
A platform that will allow you to make adjustments to your iPhone or iPad without having to open it up. The startup is focused on making it easier for people to tweak their iOS devices.,,,,,,,,
"A project management platform for freelancers and small teams, asking people to “realize their potential”.",,,,,,,,
"A tool for managing medical records in the cloud. Medloop is building a SaaS platform that helps doctors digitize their medical records and share them with patients, and also handles the back-and-forth with insurers for them.",,,,,,,,
"A new company from YC, this startup is building a platform to help “people in crisis” connect with people not in crisis.",,,,,,,,
 A platform to help people pay for parking in a city using a smartphone.,,,,,,,,
"This digital platform is for booking conferences, events, and meetings between companies. It aims to be a “Facebook for meetups” and has already raised $1 million.",,,,,,,,
A Chinese-focused ecommerce platform that was built on the idea that China's economy is less of a free market and more of a controlled economic system. The company is working on a solution to let individuals buy goods without a bank account and without a traditional credit card.,,,,,,,,
A startup that’s building a platform to help people find and purchase real estate with outside financing.,,,,,,,,
"“A platform for high-growth companies to grow their community,” which has a plan to bring in more than $100,000 in revenue in 2019 (as of July).",,,,,,,,
"A company that is creating an open-source platform to track employee time, and then charging employers for its usage.",,,,,,,,
"A blockchain-based platform that lets people not only track their food and purchases, but also lets them tell the story of where their food came from.",,,,,,,,
"A platform for people to sell their used cars online. When a buyer agrees to buy your car, the app will handle the paperwork and payment.",,,,,,,,
Open-source software that provides a platform for the secure exchange of sensitive information,,,,,,,,
"A platform for buying and selling used trucks and cars, which they say is a company that helps manage the transition between new and used cars.",,,,,,,,
An idea management and idea exchange platform.,,,,,,,,
A startup that offers a big data analytics platform for commercial real estate,,,,,,,,
This startup is building a platform for employers to manage their employee benefits.,,,,,,,,
A platform that allows people to invest in the stock market in a more transparent manner. The company has over $30 million in funding and is the first company to offer a cryptocurrency fund to their users.,,,,,,,,
This startup wants to build a platform that allows companies to manage their entire supply chain from their headquarters.,,,,,,,,
"This is a loyalty platform for businesses, with a twist: users only get points for small purchases. The company claims it’s already profitable.",,,,,,,,
"Slack is a project management and chat platform for teams and groups. Slack builds software as a service (SaaS) products, which are web-based applications that companies or organizations can use instead of having to install or maintain software on their own computer.",,,,,,,,
A tools platform for building apps and websites that uses machine learning to help users find the best possible images for their projects.,,,,,,,,
A self-driving car platform for developers and auto manufacturers. The startup wants to make it easy for carmakers to integrate self-driving technology into their vehicles.,,,,,,,,
A platform that allows customers to buy a specific film or lens and have it shipped directly to their door.,,,,,,,,
"A platform for “jobs that work for you”, allowing companies to find the right candidates for the right positions. The startup is currently operating in the US and UK.",,,,,,,,
"A market research platform for fashion designers that serves as a central database for pricing, trends, and quality.",,,,,,,,
"Hoping to use the same playbook as the coffee industry to grow their subscriptions to their platform, Hopin.",,,,,,,,
"Another company looking to build a social media platform for dating, focusing on the Latinx market in the US.",,,,,,,,
A platform that helps companies manage their customer service and chat support. They have a contract with a major e-commerce company.,,,,,,,,
A platform that lets users post their car in a parking lot and it will come back to them when they need it.,,,,,,,,
"A platform for businesses to use and manage their international trade finance more easily, helping them avoid the costs and delays of traditional financing.",,,,,,,,
"A software-as-a-service platform for banks, designed to provide a consistent and comprehensive experience for users and businesses.",,,,,,,,
A travel concierge platform that serves travelers who want to visit the same places. It is designed to connect travelers with similar interests and save money by helping them make a booking at the same time.,,,,,,,,
"The Delhi-based startup is building a platform that helps users book flights, hotels, and car rentals with a single app. The company claims it can slash travel costs by as much as 80 percent.",,,,,,,,
This startup is building a mobile banking platform that will allow small business to accept payments from their customers easily through their SIM cards.,,,,,,,,
"a software platform meant to help people make better decisions about the future, by using an AI algorithm to help you forgo the status quo, and take more risks.",,,,,,,,
A platform for people to rent out their spare computing power and earn cryptocurrency.,,,,,,,,
A no-cost education platform that helps students learn how to code by watching videos online. Arist wants to help millions of people learn programming.,,,,,,,,
"In the past year, the startup has raised $1.5 million. The company’s clients include Nestle and Samsung. The company’s platform allows companies to monitor and control their customers’ mobile data usage.",,,,,,,,
"A SaaS platform that helps IT teams automatically create a repeatable, secure, and reliable infrastructure for IoT/edge devices.",,,,,,,,
A platform for making virtual reality content. The startup is looking to build a “virtual reality video studio” that lets creators stream their VR content.,,,,,,,,
A platform for projects that want to test their products at scale before releasing them.,,,,,,,,
A platform that helps you quickly build a team of freelancers to help you with different areas of your business.,,,,,,,,
"A digital wallet that’s designed to serve the needs of women in China. Currently, the platform does not offer features that are common in the US, such as peer-to-peer payments, a feature that is required in China for transactions to be legal.",,,,,,,,
"This startup takes a unique approach to the software industry, building a platform to help customers manage their accounting.",,,,,,,,
A platform that connects users with the accounts where the things they buy are delivered.,,,,,,,,
"A platform designed to help people find the right therapist, based on their specific needs. The company is working with a social network of therapists to provide the feature to their users.",,,,,,,,
A platform meant to help businesses measure the ROI of their marketing efforts in real-time.,,,,,,,,
"A platform for small farmers that makes it easier for them to sell their crops online, with a cash-back guarantee.",,,,,,,,
"A platform that helps small businesses find financing to grow. The service is used by over 1,000 businesses in the US.",,,,,,,,
Online platform that helps small businesses access business loans and credit cards from local banks. The startup has raised $2 million from a range of investors.,,,,,,,,
SaaS business that provides a platform for companies to manage their payments and invoices from anywhere in the world.,,,,,,,,
"A platform for mobile service providers (e.g. cell phone companies, wireless carriers) to manage their business operations, and a business-to-business platform for mobile service providers to engage with consumers. The company has three contracts, all with mobile carriers.",,,,,,,,
"A cloud-based platform that allows retailers to create a “bundle” of products that are available for the same price as a single product, offering better margins for buyers on multiple products.",,,,,,,,
"A company that helps companies and employees find relevant jobs. The startup provides a job posting platform to help people find jobs, and has raised $500,000 from investors including Y Combinator.",,,,,,,,
A platform to help people find and book affordable dental work. Currently focused in the UK and US.,,,,,,,,
A P2P lending platform for businesses that don’t have the resources to build out the infrastructure to do their own payments.,,,,,,,,
"This startup is building a free, secure, and encrypted messaging platform with end-to-end encryption.",,,,,,,,
"This is a tool for people who want to get paid to write content for others, and it’s built on the WordPress platform. It lets people write blog posts, copywriting articles, or any other type of content for clients.",,,,,,,,
"A platform that allows people to build their own online communities, which they can manage with a dashboard.",,,,,,,,
Chargeback is an online platform that helps users dispute utility bills. It’s a B2B startup catering to utility companies. The founders hope to build a worldwide network of users.,,,,,,,,
"A platform for managing multiple email addresses, groups, and more.",,,,,,,,
A platform that helps agencies and brands manage their digital campaigns and see stats about them.,,,,,,,,
A platform to help you track the media you consume by linking it to your social media accounts.,,,,,,,,
Delivering a “rewards-coupon” platform for online retailers.,,,,,,,,
 A platform that helps members discover and share their favorite fitness classes and gyms.,,,,,,,,
A company that provides a platform to run community-based learning programs in developing countries online.,,,,,,,,
"A platform that helps retailers and brands create in-person or online events for their customers. Events include meetups, dinners, and dinners-with-entertainment. The startup has raised $288,000.",,,,,,,,
"A software platform that allows customers to find out where they can buy products and then subscribe to them in advance. The startup is building an e-commerce platform for physical products, with an emphasis on beauty. The company is based in San Francisco.",,,,,,,,
"This company’s founders were previously in the gaming industry, and want to help make that industry more inclusive. The startup is building a platform to help game developers with user acquisition and retention by building in features for “people of color, women, and LGBTQ people.”",,,,,,,,
 A team who wants to build a platform for doctors to manage prescriptions and patient records.,,,,,,,,
A SaaS platform that connects customers with a vetted network of dog sitters.,,,,,,,,
A web platform “for young people to start their own businesses.”,,,,,,,,
"ShopStyle is a subscription-based visual merchandising platform that allows retailers to create branded shopping experiences. ShopStyle gives retailers a way to create different streaming layouts, video ads, and product displays that are tailored to each individual customer.",,,,,,,,
"Salesforce.com’s Wave is a platform aimed at salespeople that lets them collaborate on calls, track KPIs, and use AI to guide future calls.",,,,,,,,
"A new way to handle team communication. People can write, send, and schedule emails from a single platform. The startup has raised $2.5 million to date.",,,,,,,,
A platform that helps users learn how to create a better resume.,,,,,,,,
"This startup is building a collaborative platform for people to share their ideas and collaboratively create, share, and consume content.",,,,,,,,
Online learning platform for high school students.,,,,,,,,
"A software platform that allows users to control and visualize their data. The goal is to provide a user-friendly interface that allows users to visualize, analyze and make decisions across their data, and tell what’s happening and what they can do about it. Think of it as a personal dashboard for your own data.",,,,,,,,
A platform for developers to build chatbots on. The startup enables developers to build software that can mimic human conversations.,,,,,,,,
"A platform for buyers of used cars, or sellers.",,,,,,,,
